0 100 
1 109.802 
2 119.509 
3 129.028 
4 138.268 
5 147.14 
6 155.557 
7 163.439 
8 170.711 
9 177.301 
10 183.147 
11 188.192 
12 192.388 
13 195.694 
14 198.079 
15 199.518 
16 200 
17 199.518 
18 198.079 
19 195.694 
20 192.388 
21 188.192 
22 183.147 
23 177.301 
24 170.711 
25 163.439 
26 155.557 
27 147.14 
28 138.268 
29 129.028 
30 119.509 
31 109.802 
32 100 
33 90.1983 
34 80.491 
35 70.9715 
36 61.7317 
37 52.8603 
38 44.443 
39 36.5607 
40 29.2893 
41 22.699 
42 16.853 
43 11.8079 
44 7.61205 
45 4.30597 
46 1.92147 
47 0.481527 
48 0 
49 0.481527 
50 1.92147 
51 4.30597 
52 7.61205 
53 11.8079 
54 16.853 
55 22.699 
56 29.2893 
57 36.5607 
58 44.443 
59 52.8603 
60 61.7317 
61 70.9715 
62 80.491 
63 90.1983 
